countryiso3code,country,indicator,date,value
BEN,Benin,NY.GDP.MKTP.KD.ZG,2024,7.45311566226201
BEN,Benin,NY.GDP.MKTP.KD.ZG,2023,6.3527773854442
BEN,Benin,NY.GDP.MKTP.KD.ZG,2022,6.25294705373625
BEN,Benin,NY.GDP.MKTP.KD.ZG,2021,7.1554516457574
BEN,Benin,NY.GDP.MKTP.KD.ZG,2020,3.84879240030133
BEN,Benin,NY.GDP.PCAP.CD,2024,1485.38018885134
BEN,Benin,NY.GDP.PCAP.CD,2023,1394.17784721831
BEN,Benin,NY.GDP.PCAP.CD,2022,1266.42711031904
BEN,Benin,NY.GDP.PCAP.CD,2021,1318.65158075198
BEN,Benin,NY.GDP.PCAP.CD,2020,1200.19426557789
BEN,Benin,FP.CPI.TOTL.ZG,2024,1.16093089640415
BEN,Benin,FP.CPI.TOTL.ZG,2023,2.73870078406075
BEN,Benin,FP.CPI.TOTL.ZG,2022,1.35077863583527
BEN,Benin,FP.CPI.TOTL.ZG,2021,1.73353962694036
BEN,Benin,FP.CPI.TOTL.ZG,2020,3.02272119663759
BEN,Benin,SL.UEM.TOTL.ZS,2024,1.637
BEN,Benin,SL.UEM.TOTL.ZS,2023,1.641
BEN,Benin,SL.UEM.TOTL.ZS,2022,1.685
BEN,Benin,SL.UEM.TOTL.ZS,2021,1.833
BEN,Benin,SL.UEM.TOTL.ZS,2020,1.518
BEN,Benin,GC.DOD.TOTL.GD.ZS,2024,
BEN,Benin,GC.DOD.TOTL.GD.ZS,2023,
BEN,Benin,GC.DOD.TOTL.GD.ZS,2022,
BEN,Benin,GC.DOD.TOTL.GD.ZS,2021,
BEN,Benin,GC.DOD.TOTL.GD.ZS,2020,
BEN,Benin,BX.KLT.DINV.CD.WD,2024,543007400
BEN,Benin,BX.KLT.DINV.CD.WD,2023,442960064.385834
BEN,Benin,BX.KLT.DINV.CD.WD,2022,375988902.223793
BEN,Benin,BX.KLT.DINV.CD.WD,2021,345985235.680029
BEN,Benin,BX.KLT.DINV.CD.WD,2020,174019952.06305
BEN,Benin,NE.EXP.GNFS.CD,2024,4047363784.45537
BEN,Benin,NE.EXP.GNFS.CD,2023,3935350521.8556
BEN,Benin,NE.EXP.GNFS.CD,2022,3627155581.76734
BEN,Benin,NE.EXP.GNFS.CD,2021,3700039683.35829
BEN,Benin,NE.EXP.GNFS.CD,2020,3117343141.94693
BEN,Benin,NE.IMP.GNFS.CD,2024,4683140133.79221
BEN,Benin,NE.IMP.GNFS.CD,2023,4851357175.5354
BEN,Benin,NE.IMP.GNFS.CD,2022,4106516764.69897
BEN,Benin,NE.IMP.GNFS.CD,2021,4799723188.71051
BEN,Benin,NE.IMP.GNFS.CD,2020,3915530456.1048
BEN,Benin,BN.CAB.XOKA.GD.ZS,2024,
BEN,Benin,BN.CAB.XOKA.GD.ZS,2023,-8.17628006592928
BEN,Benin,BN.CAB.XOKA.GD.ZS,2022,-5.68712530548324
BEN,Benin,BN.CAB.XOKA.GD.ZS,2021,-4.15352071063382
BEN,Benin,BN.CAB.XOKA.GD.ZS,2020,-1.74648575797682
BEN,Benin,SP.POP.TOTL,2024,14462724
BEN,Benin,SP.POP.TOTL,2023,14111034
BEN,Benin,SP.POP.TOTL,2022,13759501
BEN,Benin,SP.POP.TOTL,2021,13413417
BEN,Benin,SP.POP.TOTL,2020,13070169
BFA,Burkina Faso,NY.GDP.MKTP.KD.ZG,2024,4.83395810163883
BFA,Burkina Faso,NY.GDP.MKTP.KD.ZG,2023,3.00027415814125
BFA,Burkina Faso,NY.GDP.MKTP.KD.ZG,2022,1.62673258211919
BFA,Burkina Faso,NY.GDP.MKTP.KD.ZG,2021,6.94252492572348
BFA,Burkina Faso,NY.GDP.MKTP.KD.ZG,2020,2.01077262406221
BFA,Burkina Faso,NY.GDP.PCAP.CD,2024,982.493100418428
BFA,Burkina Faso,NY.GDP.PCAP.CD,2023,873.198061670247
BFA,Burkina Faso,NY.GDP.PCAP.CD,2022,827.330843486661
BFA,Burkina Faso,NY.GDP.PCAP.CD,2021,895.535288442991
BFA,Burkina Faso,NY.GDP.PCAP.CD,2020,825.237038782475
BFA,Burkina Faso,FP.CPI.TOTL.ZG,2024,4.19081721344523
BFA,Burkina Faso,FP.CPI.TOTL.ZG,2023,0.742910428668918
BFA,Burkina Faso,FP.CPI.TOTL.ZG,2022,14.2902354303358
BFA,Burkina Faso,FP.CPI.TOTL.ZG,2021,3.65326761825509
BFA,Burkina Faso,FP.CPI.TOTL.ZG,2020,1.88470066518847
BFA,Burkina Faso,SL.UEM.TOTL.ZS,2024,3.441
BFA,Burkina Faso,SL.UEM.TOTL.ZS,2023,3.601
BFA,Burkina Faso,SL.UEM.TOTL.ZS,2022,3.828
BFA,Burkina Faso,SL.UEM.TOTL.ZS,2021,4.511
BFA,Burkina Faso,SL.UEM.TOTL.ZS,2020,4.59
BFA,Burkina Faso,GC.DOD.TOTL.GD.ZS,2024,64.1848911988902
BFA,Burkina Faso,GC.DOD.TOTL.GD.ZS,2023,61.9522242117801
BFA,Burkina Faso,GC.DOD.TOTL.GD.ZS,2022,63.1897248087734
BFA,Burkina Faso,GC.DOD.TOTL.GD.ZS,2021,55.5822235545459
BFA,Burkina Faso,GC.DOD.TOTL.GD.ZS,2020,73.3851925518101
BFA,Burkina Faso,BX.KLT.DINV.CD.WD,2024,-202224388.094201
BFA,Burkina Faso,BX.KLT.DINV.CD.WD,2023,109438755.395966
BFA,Burkina Faso,BX.KLT.DINV.CD.WD,2022,669738240.850164
BFA,Burkina Faso,BX.KLT.DINV.CD.WD,2021,-79957355.3390048
BFA,Burkina Faso,BX.KLT.DINV.CD.WD,2020,-98777856.0144418
BFA,Burkina Faso,NE.EXP.GNFS.CD,2024,6608822103.86993
BFA,Burkina Faso,NE.EXP.GNFS.CD,2023,5820589716.51653
BFA,Burkina Faso,NE.EXP.GNFS.CD,2022,5813561183.39553
BFA,Burkina Faso,NE.EXP.GNFS.CD,2021,6460208896.64941
BFA,Burkina Faso,NE.EXP.GNFS.CD,2020,5632452790.61293
BFA,Burkina Faso,NE.IMP.GNFS.CD,2024,7387126425.77464
BFA,Burkina Faso,NE.IMP.GNFS.CD,2023,6877000995.68104
BFA,Burkina Faso,NE.IMP.GNFS.CD,2022,6760351772.06807
BFA,Burkina Faso,NE.IMP.GNFS.CD,2021,5835051415.32522
BFA,Burkina Faso,NE.IMP.GNFS.CD,2020,5133679370.81792
BFA,Burkina Faso,BN.CAB.XOKA.GD.ZS,2024,-3.96877055984497
BFA,Burkina Faso,BN.CAB.XOKA.GD.ZS,2023,-5.05911958154004
BFA,Burkina Faso,BN.CAB.XOKA.GD.ZS,2022,-7.53912115376433
BFA,Burkina Faso,BN.CAB.XOKA.GD.ZS,2021,0.392208859644244
BFA,Burkina Faso,BN.CAB.XOKA.GD.ZS,2020,4.1931251239965
BFA,Burkina Faso,SP.POP.TOTL,2024,23548781
BFA,Burkina Faso,SP.POP.TOTL,2023,23025776
BFA,Burkina Faso,SP.POP.TOTL,2022,22509038
BFA,Burkina Faso,SP.POP.TOTL,2021,21995243
BFA,Burkina Faso,SP.POP.TOTL,2020,21478690
CIV,Cote d'Ivoire,NY.GDP.MKTP.KD.ZG,2024,6.0195346193922
CIV,Cote d'Ivoire,NY.GDP.MKTP.KD.ZG,2023,6.60000045209176
CIV,Cote d'Ivoire,NY.GDP.MKTP.KD.ZG,2022,6.39988362730921
CIV,Cote d'Ivoire,NY.GDP.MKTP.KD.ZG,2021,7.06253713446816
